"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"CZ02",2010,6.65840827835168,11014.9,116.2,18300,1688986,5.2,0.0102119319368828,0,0,0,0,100,0,0,0,7.67960147203996,872.333365062759
"CZ02",2011,6.61977543937934,11015.3,117.7,19500,1796742,5.1,0.0102119319368828,0,0,0,0,100,0,0,0,7.64096863306762,845.069773166224
"CZ02",2012,6.61943469652709,11015.3,119,19600,2114840,4.6,0.0102119319368828,0,0,0,0,100,0,0,0,7.64062789021537,844.221034498061
"CZ02",2013,6.61956467352296,11015.5,120,19500,2066099,5.2,0.0102119319368828,0,0,0,0,100,0,0,0,7.64075786721124,842.26106424211
"CZ03",2009,25.0515379688636,17617.5,70.6,17800,4284427,5.2,0.0184638263032532,0,0,0,0,100,0,0,0,26.8979205991889,3100.86468228296
"CZ03",2010,25.4730541799346,17617.7,70.7,18100,4096691,5.6,0.0184638263032532,0,0,0,0,100,0,0,0,27.3194368102599,3103.24127249053
"CZ03",2011,25.4007118416004,17617.8,70.8,18800,4009644,5.3,0.0184638263032532,0,0,0,0,100,0,0,0,27.2470944719257,3013.4524888875
"CZ03",2012,25.4016380831378,17617.4,70.8,19100,4687581,5.3,0.0184638263032532,0,0,0,0,100,0,0,0,27.2480207134631,3010.66254832311
"CZ03",2013,25.4016985854298,17617.3,70.9,19400,4658094,5.2,0.0184638263032532,0,0,0,0,100,0,0,0,27.2480812157551,3003.6284727491
"CZ04",2009,27.7807181962448,8649,133.8,16100,5166640,10.3,0.0509906571790126,0,0,0,0,100,0,0,0,32.8797839141461,3790.46998538412
"CZ04",2010,27.7094267635792,8649,133.7,15900,5095808,11.1,0.0509906571790126,0,0,0,0,100,0,0,0,32.8084924814805,3726.74841959002
"CZ04",2011,27.753705002338,8648.9,133.5,16700,5341409,9.5,0.0509906571790126,0,0,0,0,100,0,0,0,32.8527707202393,3633.42461324679
"CZ04",2012,27.7530860310726,8649,133.3,16600,5938627,10.7,0.0509906571790126,0,0,0,0,100,0,0,0,32.8521517489739,3629.86889736155
"CZ04",2013,27.75308597586,8648.8,133,16500,5764989,9.6,0.0509906571790126,0,0,0,0,100,0,0,0,32.8521516937613,3621.38006845776
"CZ05",2009,15.0543453886268,12440.2,122.8,16500,6439100,7.3,0.0179769335550652,0,0,0,0,100,0,0,0,16.8520387441333,1942.74838359523
"CZ05",2010,14.9968070994725,12440.1,123,16900,6301288,7,0.0179769335550652,0,0,0,0,100,0,0,0,16.794500454979,1907.70356375645
"CZ05",2011,15.0742069769022,12440.4,123.1,17800,6189117,6.6,0.0179769335550652,0,0,0,0,100,0,0,0,16.8719003324087,1865.98501727753
"CZ05",2012,15.0741571235999,12441,123.1,17900,6973862,8,0.0179769335550652,0,0,0,0,100,0,0,0,16.8718504791064,1864.18855492338
"CZ05",2013,15.0739195692387,12441.1,123,18000,6797895,8.3,0.0179769335550652,0,0,0,0,100,0,0,0,16.8716129247452,1859.80277145772
"CZ06",2009,7.9387691130984,13990.9,121.7,18200,2990867,6.5,0.0319718867590384,0,0,0,0,77,0,23,0,11.1359577890022,1283.7831862866
"CZ06",2010,7.91993785237631,13990.1,122,18400,2886780,7.5,0.0319718867590384,0,0,0,0,77,0,23,0,11.1171265282801,1262.80516372512
"CZ06",2011,7.95707488519257,13990.2,122.3,19500,3127652,7.2,0.0319718867590384,0,0,0,0,77,0,23,0,11.1542635610964,1233.630372021
"CZ06",2012,7.95766920357442,13990.4,122.4,20100,3785268,7.6,0.0319718867590384,0,0,0,0,77,0,23,0,11.1548578794783,1232.51201262551
"CZ06",2013,7.95778277395217,13990.6,122.5,20600,4018438,6.8,0.0319718867590384,0,0,0,0,77,0,23,0,11.154971449856,1229.64217532197
"CZ07",2009,30.5699315986626,9230.2,134.9,16100,2998109,7.5,0.028745855482191,0,0,0,0,98,0,2,0,33.4445171468817,3855.57395243034
"CZ07",2010,30.4851657634181,9230.1,134.8,16300,2984193,8.8,0.028745855482191,0,0,0,0,98,0,2,0,33.3597513116372,3789.36644372603
"CZ07",2011,30.5687380221627,9229.8,134.7,17400,3013799,7.6,0.028745855482191,0,0,0,0,98,0,2,0,33.4433235703818,3698.73810778894
